"English","Русский язык","Esperanto"
"How many spectators can it hold?","Сколько зрителей он может вместить?","Kiom da spektantoj ĝi povas enhavi?"
"What sports club do you play for?","За какой спортивный клуб вы играете?","Por kiu sporta klubo vi ludas?"
"How long have you been doing this sport?","Как долго вы занимаетесь этим видом спорта?","Kiom longe vi praktikas ĉi tiun sporton?"
"How many races has this jockey won?","Сколько гонок выиграл этот наездник?","Kiom da vetkuroj gajnis ĉi tiu ĵokeo?"
"What are the odds on the favourite?","Какие шансы у фаворита?","Kiaj estas la vetproporcioj por la favorato?"
"How many bets can one make on the next race?","Сколько ставок можно сделать на следующий заезд?","Kiom da vetoj oni povas fari por la sekva kuro?"
"Which horse is the favourite in this race?","Какая лошадь является фаворитом в этом заезде?","Kiu ĉevalo estas la favorato en ĉi tiu kuro?"
"What is the minimum bet I can place?","Какую минимальную ставку я могу сделать?","Kiu estas la minimuma veto, kiun mi povas fari?"
"Who'll win today, in your opinion?","Кто сегодня выиграет, по твоему мнению?","Kiu venkos hodiaŭ, laŭ vi?"
"Where can I hire clubs and a buggy?","Где я могу арендовать клюшки и гольф-кар?","Kie mi povas lui golfbastonojn kaj golfveturileton?"
"What is par for this hole?","Какой пар у этой лунки?","Kio estas la paro por ĉi tiu truo?"
"How far did you hit the ball with that stroke?","Как далеко ты послала мяч тем ударом?","Kiom malproksimen vi batis la pilkon per tiu bato?"
"How many boats are included in this regatta?","Сколько лодок участвует в этой регате?","Kiom da boatoj partoprenas en ĉi tiu regato?"
"This exercise will work your thigh muscles.","Это упражнение проработает твои мышцы бедра.","Ĉi tiu ekzerco trejnos viajn femurajn muskolojn"
"I play the violin.","Я играю на скрипке.","Mi ludas violonon"
"I'm a beginner.","Я начинающий.","Mi estas komencanto"
"Do you like music?","Тебе нравится музыка?","Ĉu vi ŝatas muzikon?"
"What is this dance called?","Как называется этот танец?","Kiel nomiĝas ĉi tiu danco?"
"I sing in a choir.","Я пою в хоре.","Mi kantas en ĥoro"
"I'm in a band.","Я играю в группе.","Mi ludas en grupo"
"Do you play any instruments?","Ты играешь на каких-нибудь инструментах?","Ĉu vi ludas iun instrumenton?"
"Yes, I play the guitar.","Да, я играю на гитаре.","Jes, mi ludas gitaron"
"Who taught you that?","Кто тебя этому научил?","Kiu instruis tion al vi?"
"When does the concert begin?","Когда начинается концерт?","Kiam komenciĝas la koncerto?"
"What musical instrument do you play?","На каком музыкальном инструменте ты играешь?","Kiun muzikan instrumenton vi ludas?"
"I play the accordion.","Я играю на аккордеоне.","Mi ludas akordionon"
"I'm learning to play the saxophone.","Я учусь играть на саксофоне.","Mi lernas ludi la saksofonon"
"I'll teach you to play the piano.","Я научу вас играть на фортепиано.","Mi instruos vin ludi pianon"
"What's on the programme today?","Что сегодня в программе?","Kio estas hodiaŭ en la programo?"
"How do I get to the balcony?","Как мне пройти на балкон?","Kiel mi povas iri al la balkono?"
"There are many people here.","Здесь много людей.","Ĉi tie estas multaj homoj"
"A tenor is singing today.","Сегодня поёт тенор.","Hodiaŭ kantas tenoro"
"Who is the conductor?","Кто дирижёр?","Kiu estas la dirigento?"
"When does the show end?","Когда заканчивается шоу?","Kiam finiĝas la spektaklo?"
"What sort of music do you listen to?","Какую музыку ты слушаешь?","Kian muzikon vi aŭskultas?"
"Anything, really.","Любую, правда.","Iun ajn, vere"
"Have you got any favourite bands?","У тебя есть любимые группы?","Ĉu vi havas preferatajn muzikgrupojn?"
"What Irish songs do you know?","Какие ирландские песни ты знаешь?","Kiujn irlandajn kantojn vi konas?"
"Have you got a piano at home?","У тебя есть дома пианино?","Ĉu vi havas pianon hejme?"
"No, but I wish I had one.","Нет, но мне бы хотелось.","Ne, sed mi dezirus havi unu"
"Yes, I've played the piano for five years.","Да, я играла на фортепиано пять лет.","Jes, mi ludis pianon dum kvin jaroj"
"Who is your favourite pianist?","Кто твой любимый пианист?","Kiu estas via plej ŝatata pianisto?"
"Who is presenting the programme?","Кто ведёт программу?","Kiu prezentas la programon?"
"I was invited to hear a symphony orchestra.","Меня пригласили послушать симфонический оркестр.","Mi estis invitita aŭskulti simfonian orkestron"
"She wants to go to a folk music concert.","Она бы хотела пойти на концерт фольклорной музыки.","Ŝi volas iri al koncerto de popolmuziko"
"Can I camp here?","Я могу разбить здесь лагерь?","Ĉu mi povas tendumi ĉi tie?"
"It's too sunny here.","Здесь слишком солнечно.","Ĉi tie estas tro sune"
"It's a beautiful view.","Красивый вид.","Estas bela vidaĵo"
"Where is the lake?","Где находится озеро?","Kie estas la lago?"
"I need a lantern.","Мне нужен фонарь.","Mi bezonas lanternon"
"Where's the campsite?","Где находится площадка для кемпинга?","Kie estas la tendumejo?"
"Are there any showers?","Есть душевые кабины?","Ĉu estas duŝejoj?"
"The ground's too hard.","Почва слишком твёрдая.","La grundo estas tro malmola"
"We have to go back.","Нам придётся вернуться.","Ni devas reveni"
"Have you got a caravan?","У тебя есть дом на колёсах?","Ĉu vi havas karavanon?"
"Where are the matches?","Где спички?","Kie estas la alumetoj?"
"Where can I get some drinking water?","Где я могу набрать питьевую воду?","Kie mi povas akiri trinkakvon?"
"Could you lend me a torch?","Не могли бы вы одолжить мне фонарь?","Ĉu vi povus prunti al mi poŝlampon?"
"There is a cuckoo.","Там кукушка.","Tie estas kukolo"
"Isn't this bird wonderful?","Разве эта птица не чудесна?","Ĉu ĉi tiu birdo ne estas mirinda?"
"Have you ever been camping?","Ты когда-нибудь ходил в поход?","Ĉu vi iam tendumis?"
"Is there a campsite nearby?","Здесь поблизости есть площадка для кемпинга?","Ĉu estas tendejo proksime?"
"Is fishing allowed here?","Здесь разрешено ловить рыбу?","Ĉu fiŝkaptado estas permesata ĉi tie?"
"Is the town far from here?","Город далеко отсюда?","Ĉu la urbo estas malproksime de ĉi tie?"
"It's longer than 2 kilometres.","Больше 2 километров.","Ĝi estas pli longa ol 2 kilometroj"
"Today is a wonderful day.","Сегодня чудесный день.","Hodiaŭ estas mirinda tago"
"Here is the edge of the woods!","Вот тут окраина леса!","Jen ĉi tie la rando de la arbaro!"
"Aren't these valleys great?","Разве эти долины не великолепны?","Ĉu ĉi tiuj valoj ne estas belegaj?"
"I'd like to walk in the mountains.","Я бы хотел прогуляться в горах.","Mi ŝatus promeni en la montaro"
"Are there any tents for hire?","Есть палатки напрокат?","Ĉu estas tendoj lueblaj?"
"Can you bring your own grill?","Ты можешь принести свой гриль?","Ĉu vi povas alporti vian propran grilon?"
"Have you got internet access here?","У вас здесь есть интернет?","Ĉu vi havas interretan aliron ĉi tie?"
"Please give me the knife.","Пожалуйста, дай мне нож.","Bonvolu doni al mi la tranĉilon"
"Do you hear that?","Ты слышишь это?","Ĉu vi aŭdas tion?"
"Ah, this is the woodpecker.","А, это дятел.","Ha, ĉi tio estas la pego"
"Listen, what noise is this?","Послушай, что это за шум?","Aŭskultu, kia bruo estas ĉi tio?"
"There are the nightingales.","Там соловьи.","Tie estas la najtingaloj"
"How often do you go camping?","Как часто ты ходишь в поход?","Kiom ofte vi tendumas?"
"Let's go out of town on Sunday.","Давай поедем за город в воскресенье.","Ni veturu eksterurben dimanĉe"
"Let me think about it.","Дай мне подумать об этом.","Lasu min pripensi tion"
"What is the best activity to do while camping?","Чем лучше всего заниматься в походе?","Kio estas la plej bona aktivaĵo dum tendumado?"
"We would like to go hunting.","Мы бы хотели пойти на охоту.","Ni volus iri ĉasi"
"Hunting is not allowed here.","Охота запрещена.","Ĉasado estas malpermesata ĉi tie"
"Could we spend the night here?","Мы могли бы здесь переночевать?","Ĉu ni povus tranokti ĉi tie?"
"What is the charge for a tent?","Сколько стоит одна палатка?","Kiom kostas tendo?"
"Have you got space for a tent?","У вас есть место для палатки?","Ĉu vi havas lokon por tendo?"
"Have they got any sleeping bags?","У них есть спальные мешки?","Ĉu ili havas dormosakojn?"
"Have you got a leveler spot?","У вас есть место поровнее?","Ĉu vi havas pli ebenan lokon?"
"Are there any cooking facilities on site?","На месте есть какое-нибудь кухонное оборудование?","Ĉu surloke troviĝas kuireja ekipaĵo?"
"Where can I get access to the internet?","Где я могу выйти в интернет?","Kie mi povas aliri la interreton?"
"How about going for a walk in the woods?","Как насчёт прогулки в лесу?","Kiel pri promeno en la arbaro?"
"Let's look for berries and mushrooms.","Давай поищем ягоды и грибы.","Ni serĉu berojn kaj fungojn"
"There is a swallow's nest.","Здесь гнездо ласточки.","Ĉi tie estas hirunda nesto"
"Are we going up on a cable railway?","Мы поднимемся по канатной дороге?","Ĉu ni supreniros per teleferilo?"
"Are we going up on the mountain path?","Мы поднимемся по горной тропе?","Ĉu ni supreniros laŭ la monta pado?"
"I'd like a map of the walking trails in this region.","Я бы хотел карту пеших маршрутов в этом районе.","Mi ŝatus mapon de la piedvojetoj en ĉi tiu regiono"
"Tell a story about a camping trip.","Расскажи какую-нибудь историю о турпоходе.","Rakontu historion pri tendumado"
"What's for lunch?","Что на обед?","Kion ni havos por tagmanĝo?"
"Let's go to a concert.","Давай пойдём на концерт.","Ni iru al koncerto"
"Shall we go bowling?","Пойдём поиграем в боулинг?","Ĉu ni iru ludi bovlingon?"
"We will stay at home.","Мы останемся дома.","Ni restos hejme"
"Shall we go skating?","Пойдём покатаемся на коньках?","Ĉu ni iru sketi?"
"What time's the match on?","Во сколько начинается матч?","Je kioma horo komenciĝas la matĉo?"
"Who's playing?","Кто играет?","Kiu ludas?"
"Do you want to watch a film?","Хочешь посмотреть фильм?","Ĉu vi volas spekti filmon?"
"I'm cleaning my room.","Я убираюсь в своей комнате.","Mi purigas mian ĉambron"
"What's for dessert?","Что на десерт?","Kion ni havos por deserto?"
"I cooked it myself.","Я приготовила его сама.","Mi mem kuiris ĝin"
"Do you want a game of cards?","Хочешь поиграть в карты?","Ĉu vi volas ludi kartojn?"
"Do you want to go out tonight?","Хочешь сходить куда-нибудь сегодня вечером?","Ĉu vi volas eliri hodiaŭ vespere?"
"Do you want me to put the TV on?","Хочешь, я включу телевизор?","Ĉu vi volas, ke mi ŝaltu la televidon?"
"Can you pass me the remote control?","Можешь передать мне пульт?","Ĉu vi povas transdoni al mi la telekomandilon?"
"Are there any good films on TV tonight?","Сегодня вечером по телевизору будут какие-нибудь хорошие фильмы?","Ĉu hodiaŭ vespere estos iuj bonaj filmoj en la televido?"
"There's a good film on later.","Попозже будет хороший фильм.","Pli poste estos bona filmo"
"My mother is a soap opera addict.","Моя мама помешана на мыльных операх.","Mia patrino estas fanatikulo pri sapoperoj"
"Does anyone fancy a game of darts?","Кто-нибудь хочет поиграть в дартс?","Ĉu iu volus ludi dartojn?"
"May I suggest reading, then?","Тогда я могу предложить тебе почитать?","Ĉu mi povas proponi al vi legadon, do?"
"My whole family is round the table.","Вся моя семья за столом.","Mia tuta familio sidas ĉirkaŭ la tablo"
"I like ripe fruits.","Мне нравятся спелые фрукты.","Mi ŝatas maturajn fruktojn"
"I planted garlic.","Я посадила чеснок.","Mi plantis ajlon"
"She grows soya.","Она выращивает сою.","Ŝi kultivas sojon"
"We grow rye.","Мы выращиваем рожь.","Ni kultivas sekalon"
"What vegetables did you plant?","Какие овощи вы посадили?","Kiujn legomojn vi plantis?"
"We planted onions.","Мы посадили лук.","Ni plantis cepojn"
"We grow tobacco.","Мы выращиваем табак.","Ni kultivas tabakon"
"They grow maize.","Они выращивают кукурузу.","Ili kultivas maizon"
"When do peaches ripen?","Когда созревают персики?","Kiam maturiĝas persikoj?"
"I scythe the grass.","Я кошу траву.","Mi falĉas la herbon"
"I planted beetroot.","Я посадила свёклу.","Mi plantis betojn"
"She has got pear trees.","У неё есть грушевые деревья.","Ŝi havas pirarbojn"
"They grow barley.","Они выращивают ячмень.","Ili kultivas hordeon"
"How often do you water the plants?","Как часто ты поливаешь растения?","Kiom ofte vi akvumas la plantojn?"
"Not very often.","Не очень часто.","Ne tre ofte"
"When does potato harvest start?","Когда начинается сбор картофеля?","Kiam komenciĝas la rikolto de terpomoj?"
"He has got plum trees.","У него есть сливовые деревья.","Li havas prunarbojn"
"He prefers unripe fruits.","Он предпочитает незрелые фрукты.","Li preferas nematurajn fruktojn"
"She raked the leaves into a pile.","Она сгребла листья в кучу.","Ŝi rakis la foliojn en amason"
"They harrowed the field.","Они взборонили поле.","Ili erpis la kampon"
"Tomorrow we're going to plough the field.","Завтра мы собираемся вспахать поле.","Morgaŭ ni plugos la kampon"
"What kind of trees are in the orchard?","Какой вид деревьев растёт в саду?","Kiaj arboj estas en la fruktarbejo?"
"What crops are grown in this region?","Какие сельскохозяйственные культуры выращивают в этом регионе?","Kiujn kulturplantojn oni kultivas en ĉi tiu regiono?"
"Come in!","Войдите!","Eniru!"
"Can I take your coat?","Можно взять твоё пальто?","Ĉu mi povas preni vian mantelon?"
"Have a seat!","Садись!","Sidiĝu!"
"Help yourself.","Угощайтесь.","Bonvolu servi vin"
"Great party, isn't it?","Отличная вечеринка, правда?","Bonega festo, ĉu ne?"
"May I come in?","Я могу зайти?","Ĉu mi povas eniri?"
"May I use your toilet?","Можно мне воспользоваться вашим туалетом?","Ĉu mi povas uzi vian necesejon?"
"This is your room.","Это твоя комната.","Ĉi tio estas via ĉambro"
"Would you like a towel?","Вы бы хотели полотенце?","Ĉu vi ŝatus tukon?"
"Would you like a beer?","Ты бы хотела бокал пива?","Ĉu vi ŝatus bieron?"
"Lunch is ready.","Обед готов.","La tagmanĝo estas preta"
"I'm full.","Я наелся.","Mi estas sata"
"I'll put the kettle on.","Я поставлю чайник.","Mi metos la bolkruĉon"
"Do you take sugar?","Тебе положить сахар?","Ĉu vi prenas sukeron?"
"Who's driving tonight?","Кто сегодня за рулём?","Kiu stiras ĉi-nokte?"
"Did you find us easily?","Вы легко нас нашли?","Ĉu vi facile trovis nin?"
"Make yourself at home!","Будьте как дома!","Sentu vin kiel hejme!"
"He's in the kitchen.","Он на кухне.","Li estas en la kuirejo"
"I need some napkins.","Мне нужны салфетки.","Mi bezonas kelkajn servetojn"
"Are you ready to eat now?","Ты сейчас готов есть?","Ĉu vi pretas manĝi nun?"
"Breakfast's ready.","Завтрак готов.","La matenmanĝo pretas"
"Would you like some toast?","Вы бы хотели тост?","Ĉu vi ŝatus toston?"
"Would you like some more?","Вы бы хотели ещё немного?","Ĉu vi ŝatus iom pli?"
"Would you like a soft drink?","Вы бы хотели выпить что-нибудь безалкогольное?","Ĉu vi ŝatus senalkoholan trinkaĵon?"
"Would anyone like a cup of tea?","Кто-нибудь хотел бы чашку чая?","Ĉu iu dezirus tason da teo?"
"The kettle's boiled.","Чайник вскипел.","La bolilo bolis"
"How do you take it?","Как вы его предпочитаете?","Kiel vi preferas ĝin?"
"How many sugars do you take?","Сколько вам кусочков сахара?","Kiom da sukerpecoj vi prenas?"
"Do you mind if I smoke here?","Вы не против, если я здесь закурю?","Ĉu ĝenas vin, se mi fumas ĉi tie?"
"I'd prefer it if you went outside.","Я бы предпочла, чтобы вы вышли на улицу.","Mi preferus, ke vi eliru"
"Did you have a good journey?","Вы хорошо добрались?","Ĉu vi havis bonan vojaĝon?"
"I'll show you your room.","Я покажу вам вашу комнату.","Mi montros al vi vian ĉambron"
"Let's go into the dining room.","Пойдём в столовую.","Ni iru en la manĝoĉambron"
"Make yourself comfortable in the living room.","Располагайся в гостиной.","Komfortigu vin en la salono"
"Are you comfortable enough on that chair?","Вам удобно на этом стуле?","Ĉu vi sidas sufiĉe komforte sur tiu seĝo?"
"Can you switch the light on?","Можешь включить свет?","Ĉu vi povas ŝalti la lumon?"
"Can you switch the light off?","Можешь выключить свет?","Ĉu vi povas estingi la lumon?"
"Can I get you anything to drink?","Я могу принести тебе что-нибудь выпить?","Ĉu mi povas alporti al vi ion por trinki?"
"Would you like a gin and tonic?","Вы бы хотели джин с тоником?","Ĉu vi ŝatus ginon kun toniko?"
"Would anyone like tea or coffee?","Кто-нибудь хотел бы чай или кофе?","Ĉu iu volus teon aŭ kafon?"
"I'd prefer it if you didn't smoke in here.","Я бы предпочла, чтобы вы не курили здесь.","Mi preferus, ke vi ne fumu ĉi tie"
"What would you like for dinner?","Что бы вы хотели на ужин?","Kion vi ŝatus por vespermanĝo?"
"How often do you order pizza to your home?","Как часто вы заказываете домой пиццу?","Kiom ofte vi mendas picon hejmen?"
"Careful, the plate's very hot!","Осторожно, тарелка очень горячая!","Atentu, la telero estas tre varma!"
"Could you pass the butter, please?","Не могли бы вы передать сливочное масло, пожалуйста?","Ĉu vi povus transdoni la buteron, mi petas?"
"There are some apples in the fridge.","В холодильнике есть яблоки.","En la fridujo estas kelkaj pomoj"
"Have you had enough to eat?","Ты наелся?","Ĉu vi satiĝis?"
"Is there anything I can do to help?","Я могу что-нибудь сделать, чтобы помочь?","Ĉu estas io, kion mi povas fari por helpi?"
"Can you help me wash the dishes?","Можешь мне помочь вымыть посуду?","Ĉu vi povas helpi min lavi la telerojn?"
"I'll wash and you dry.","Я буду мыть, а ты вытирай.","Mi lavos, kaj vi viŝos"
"I am leaving in the morning.","Я уезжаю утром.","Mi foriras matene"
"Insert your card","Вставьте карту","Enmetu vian karton"
"Please wait","Пожалуйста, подождите","Bonvolu atendi"
"Another service?","Выбрать другую услугу?","Ĉu elekti alian servon?"
"Remove card","Заберите карту","Elprenu la karton"
"My card doesn't work.","Моя карта не работает.","Mia karto ne funkcias"
"I'd like to buy some euros.","Я бы хотел купить евро.","Mi ŝatus aĉeti eŭrojn"
"Where's the nearest bank?","Где находится ближайший банк?","Kie estas la plej proksima banko?"
"When does the bank open?","Когда открывается банк?","Kiam malfermiĝas la banko?"
"My card was stolen.","Мою карту украли.","Mia karto estis ŝtelita"
"I've got my ID card.","У меня есть удостоверение личности.","Mi havas mian legitimilon"
"Please fill in this form.","Пожалуйста, заполните эту форму.","Bonvolu plenigi ĉi tiun formularon"
"Where do I sign?","Где мне расписаться?","Kie mi subskribu?"
"Where can I change money?","Где я могу обменять деньги?","Kie mi povas ŝanĝi monon?"
"What's the exchange rate?","Какой курс?","Kia estas la kurzo?"
"What is the commission?","Какая комиссия?","Kia estas la provizio?"
"In tens, please.","Десятками, пожалуйста.","Per dekoj, mi petas"
"Would you like a receipt?","Вы бы хотели получить чек?","Ĉu vi ŝatus kvitancon?"
"This is a fake note.","Это фальшивая купюра.","Ĉi tio estas falsa monbileto"
"Where's the cash machine?","Где банкомат?","Kie estas la bankaŭtomato?"
"The cash machine is over there.","Банкомат вон там.","La bankaŭtomato estas tie"
"Your cash is being counted.","Идёт подсчёт банкнот.","Via kontantmono estas kalkulata"
"How late is the bank open?","До которого часа открыт банк?","Ĝis kioma horo la banko estas malfermita?"
"Wait behind the yellow line.","Ждите за жёлтой линией.","Atendu malantaŭ la flava linio"
"Could you tell me my balance, please?","Не могли бы вы сказать мой баланс счёта, пожалуйста?","Ĉu vi povus diri al mi mian saldon, mi petas?"
"Is my passport necessary?","Мой паспорт необходим?","Ĉu mia pasporto estas necesa?"
"I've got my driving licence.","У меня есть водительские права.","Mi havas stirpermesilon"
"How quickly can this be done?","Насколько быстро он может быть осуществлён?","Kiom rapide ĉi tio povas esti farita?"
"I'd like to change money.","Я бы хотела поменять деньги.","Mi ŝatus ŝanĝi monon"
"I'd like to cancel a cheque.","Я бы хотел аннулировать чек.","Mi ŝatus nuligi ĉekon"
"I'd like to deposit some money.","Я бы хотела положить деньги на счёт.","Mi ŝatus deponi iom da mono"
"I'd like to send some money to India.","Я бы хотел отправить деньги в Индию.","Mi ŝatus sendi iom da mono al Hindio"
"I'd like to make a withdrawal.","Я бы хотел снять наличные.","Mi ŝatus fari retiron"
"How would you like the money?","Какими купюрами вы бы хотели получить деньги?","Per kiaj monbiletoj vi dezirus ricevi la monon?"
"I want large notes, please.","Я хочу крупными купюрами, пожалуйста.","Mi volas grandajn bankbiletojn, mi petas"
"Could you give me some smaller notes?","Вы могли бы дать мне более мелкие банкноты?","Ĉu vi povus doni al mi pli malgrandajn bankbiletojn?"
"The commission is included.","Комиссия включена.","La provizio estas inkluzivita"
"Have you got any identification?","У вас есть документ, удостоверяющий личность?","Ĉu vi havas ian legitimilon?"
"Yes, I've got my passport.","Да, у меня есть паспорт.","Jes, mi havas mian pasporton"
"I need a withdrawal slip.","Мне нужен документ на выдачу наличных с депозита.","Mi bezonas formularon por monretiro"
"I would like to report a lost credit card.","Я хочу заявить об утере кредитной карточки.","Mi ŝatus raporti pri perdita kreditkarto"
"I've forgotten my internet banking password.","Я забыла пароль от интернет-банка.","Mi forgesis mian pasvorton por la interreta bankado"
"Could I have a statement, please?","Могу я получить выписку, пожалуйста?","Ĉu mi povus ricevi kontoekstrakton, mi petas?"
"Could I order a new chequebook, please?","Я могу заказать новую чековую книжку, пожалуйста?","Ĉu mi povus mendi novan ĉeklibron, mi petas?"
"Can I withdraw money from my credit card here?","Могу я снять деньги с кредитной карты здесь?","Ĉu mi povas retiri monon de mia kreditkarto ĉi tie?"
"You've got no money on your account.","На вашем счёте нет денег.","Sur via konto ne estas mono"
"Where is the bureau de change?","Где пункт обмена валюты?","Kie estas la monŝanĝejo?"
"Could you change this 100 dollar note?","Не могли бы вы разменять эту 100-долларовую купюру?","Ĉu vi povus ŝanĝi ĉi tiun centdolaran monbileton?"
"What is the exchange rate between euro and franc?","Какой обменный курс между евро и франком?","Kia estas la kurzo inter eŭro kaj franko?"
"I'd like to exchange American dollars for euros.","Я хочу обменять американские доллары на евро.","Mi ŝatus ŝanĝi usonajn dolarojn kontraŭ eŭroj"
"I'd like to pay this cheque in, please.","Я бы хотела зачислить на свой счёт сумму по этому чеку, пожалуйста.","Mi ŝatus deponi ĉi tiun ĉekon, mi petas"
"I'd like to withdraw 100 pounds, please.","Я бы хотел снять 100 фунтов, пожалуйста.","Mi ŝatus retiri 100 pundojn, mi petas"
"I'd like to inform you about a change of address.","Я бы хотел сообщить вам об изменении адреса.","Mi ŝatus informi vin pri ŝanĝo de adreso"
"I'd like to speak to someone about a mortgage.","Я бы хотел поговорить с кем-нибудь об ипотеке.","Mi ŝatus paroli kun iu pri hipoteko"
"I'd like to order some foreign currency.","Я бы хотел заказать иностранную валюту.","Mi ŝatus mendi fremdan valuton"
"I'd like to transfer some money to this account.","Я бы хотел перевести деньги на этот счёт.","Mi ŝatus transloki iom da mono al ĉi tiu konto"
"I'd like to open a personal account.","Я бы хотел открыть личный счёт.","Mi ŝatus malfermi personan konton"
"I would like to open a business account.","Я бы хотел открыть бизнес-счёт.","Mi ŝatus malfermi komercan konton"
"We've got a joint account.","У нас совместный счёт.","Ni havas komunan konton"
"What's the interest rate on this account?","Какая процентная ставка на этом счёте?","Kia estas la interezprocento de ĉi tiu konto?"
"Would you like to make a deposit?","Вы бы хотели положить деньги на счёт?","Ĉu vi ŝatus deponi monon al via konto?"
"I would like to cash this traveler's cheque.","Я бы хотела обналичить этот дорожный чек.","Mi ŝatus kontantigi ĉi tiun vojaĝan ĉekon"
"I'm looking for a flat.","Я ищу квартиру.","Mi serĉas loĝejon"
"What's your budget?","Каков ваш бюджет?","Kia estas via buĝeto?"
"Do you like this house?","Вам нравится этот дом?","Ĉu vi ŝatas ĉi tiun domon?"
"I'll take it.","Я возьму его.","Mi prenos ĝin"
"I want to find a flat for hire.","Я хочу найти квартиру, сдающуюся в аренду.","Mi volas trovi loĝejon por lui"
"Is the district quiet?","Этот район тихий?","Ĉu la kvartalo estas trankvila?"
"Is the building old or new?","Здание старое или новое?","Ĉu la konstruaĵo estas malnova aŭ nova?"
"I'm looking for a bungalow.","Я ищу бунгало.","Mi serĉas bungalon"
"I'm looking for a terraced house.","Я ищу низкий многоквартирный дом.","Mi serĉas vicdomon"
"Do you want a garden?","Вы хотите сад?","Ĉu vi volas ĝardenon?"
"Do you want a parking space?","Вы хотите место для парковки?","Ĉu vi volas parkumejon?"
"What's the asking price?","Какова запрашиваемая цена?","Kiu estas la petata prezo?"
"Is the price negotiable?","Торг уместен?","Ĉu la prezo estas diskutebla?"
"I'd like to make an offer.","Я бы хотела сделать предложение.","Mi ŝatus fari proponon"
"Have you got a property to sell?","У вас есть собственность на продажу?","Ĉu vi havas posedaĵon por vendi?"
"Are you looking to buy or to rent?","Вы ищите жилье для покупки или аренды?","Ĉu vi serĉas loĝejon por aĉeti aŭ por lui?"
"Which area are you thinking of?","Какой район вы рассматриваете?","Kiun kvartalon vi konsideras?"
"How much are you prepared to pay?","Сколько вы готовы заплатить?","Kiom vi pretas pagi?"
"Are you a cash buyer?","Вы покупаете за наличные?","Ĉu vi estas kontanta aĉetanto?"
"Are you going to need a mortgage?","Вам будет нужна ипотека?","Ĉu vi bezonos hipotekon?"
"How many bedrooms do you want?","Сколько спален вы хотите?","Kiom da dormoĉambroj vi volas?"
"I only need a one-bedroomed flat.","Мне нужна квартира всего с одной спальней.","Mi bezonas apartamenton kun nur unu dormoĉambro"
"I'd like to rent a two-bedroomed flat.","Я бы хотел арендовать квартиру с двумя спальнями.","Mi ŝatus lui apartamenton kun du dormoĉambroj"
"I'm looking for a two-storey house.","Я ищу двухэтажный дом.","Mi serĉas duetaĝan domon"
"What sort of view has it got?","Какой из неё открывается вид?","Kian vidon ĝi havas?"
"How much is the down payment?","Сколько первоначальный взнос?","Kiom estas la antaŭpago?"
"How much is the monthly rate?","Сколько ежемесячная плата?","Kiom estas la monata kotizo?"
"There's a deposit of one month's rent.","Нужен депозит в размере месячной платы.","Necesas deponaĵo je unu-monata lupago"
"Is there a less expensive one?","Есть что-нибудь менее дорогое?","Ĉu estas io malpli multekosta?"
"What kind of accommodation are you looking for?","Какой вид жилья вы ищете?","Kian loĝejon vi serĉas?"
"Something not too far from the city centre.","Что-нибудь не очень далеко от центра города.","Io ne tro malproksime de la urbocentro"
"Are you looking for furnished or unfurnished accommodation?","Вы ищете меблированное или немеблированное жильё?","Ĉu vi serĉas meblitan aŭ nemeblitan loĝejon?"
"I would prefer a furnished flat.","Я бы предпочёл меблированную квартиру.","Mi preferus meblitan loĝejon"
"Do you want a modern or an old property?","Вы хотите новостройку или вторичную недвижимость?","Ĉu vi volas novkonstruitan aŭ duamanan posedaĵon?"
"What price range are you thinking of?","Какой порядок цен вы рассматриваете?","Kiun prezintervalon vi konsideras?"
"It's got two bedrooms, a kitchen and a bathroom.","В ней есть две спальни, кухня и ванная комната.","Ĝi havas du dormoĉambrojn, kuirejon kaj banĉambron"
"I'm interested to know more about this property.","Я заинтересована узнать больше об этой недвижимости.","Mi interesiĝas scii pli pri ĉi tiu posedaĵo"
"How long has it been on the market?","Как долго он уже на рынке?","Kiom longe ĝi jam estas sur la merkato?"
"How far is it from the nearest station?","Как далеко она от ближайшей станции?","Kiom malproksime ĝi estas de la plej proksima stacidomo?"
"Is it possible to rent a garage?","Возможно ли арендовать гараж?","Ĉu eblas lui garaĝon?"
"Is there a primary school nearby?","Есть ли там поблизости начальная школа?","Ĉu estas elementa lernejo proksime?"
"Are there any shops or cafes near the house?","Рядом с домом есть какие-нибудь магазины или кафе?","Ĉu estas iuj butikoj aŭ kafeoj proksime de la domo?"
"I'd like to have a look at this property.","Я бы хотел взглянуть на эту недвижимость.","Mi ŝatus rigardi ĉi tiun posedaĵon"
"When would you be available to view the property?","Когда вам будет удобно посмотреть недвижимость?","Kiam estus oportune por vi viziti la posedaĵon?"
"The rent's payable monthly in advance.","Платить надо ежемесячно за месяц вперёд.","La lupago estas pagenda monate anticipe"
"Are they willing to negotiate?","Они готовы торговаться?","Ĉu ili pretas negoci?"
"The price is higher than I planned to spend.","Цена выше, чем я рассчитывала потратить.","La prezo estas pli alta ol mi planis elspezi"
"How soon would you be able to move in?","Как скоро вы могли бы въехать?","Kiel baldaŭ vi povus enloĝiĝi?"
"Would you like us to put you on our mailing list?","Вы хотите, чтобы мы добавили вас в список рассылки?","Ĉu vi ŝatus, ke ni aldonu vin al nia dissendolisto?"
